"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"MSC","MSC","FGF7","FGFR1",0.00527076255887298,0,"FGF7_FGFR1","FGF7 - FGFR1","FGF","Secreted Signaling","PMC: 4393358"
"Endothelial","Osteoclast","CXCL12","CXCR4",0.00327473065890571,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MSC","Osteoclast","CXCL12","CXCR4",0.00466737588135871,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Endothelial","T_NK","CXCL12","CXCR4",0.032220041075093,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MSC","T_NK","CXCL12","CXCR4",0.045362040912556,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Endothelial","TAM_CLEC_LAM","CXCL12","CXCR4",0.0176478081722097,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MSC","TAM_CLEC_LAM","CXCL12","CXCR4",0.0249995837996704,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Endothelial","TAM_other","CXCL12","CXCR4",0.0225045350158889,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MSC","TAM_other","CXCL12","CXCR4",0.0318140167381435,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Endothelial","TIM","CXCL12","CXCR4",0.0144555918341168,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MSC","TIM","CXCL12","CXCR4",0.0205053029209554,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Endothelial","Tumor","CXCL12","CXCR4",0.0126077300190762,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"MSC","Tumor","CXCL12","CXCR4",0.0178981493709878,0,"CXCL12_CXCR4","CXCL12 - CXCR4","CXCL","Secreted Signaling","KEGG: hsa04060"
"Tumor","Osteoclast","MIF","CD74_CXCR4",0.0426155136825926,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Endothelial","T_NK","MIF","CD74_CXCR4",0.037151914613938,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"MSC","T_NK","MIF","CD74_CXCR4",0.0679869628580144,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Pericyte","T_NK","MIF","CD74_CXCR4",0.0382297629721902,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"T_NK","T_NK","MIF","CD74_CXCR4",0.035546442238509,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"Tumor","T_NK","MIF","CD74_CXCR4",0.133193185874626,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
